filename,text
20240802_041050_DR9E90247_1098_original.jpg,"45679 60629857- 1290 79882 2024/08/02 04:11:26 36.68253, 126.54 191 OKM 100 CR015-2013-5486 OH"
20240802_041050_DR9E90247_1102_original.jpg,"45679 60629857- 1644 2024/08/02 04:11:26 36.68253, 126.54 191 OKM 290 7988 해"
20240802_041050_DR9E90247_1106_original.jpg,"www. 20609857- 368 2024/08/02 04:11:27 36.68253,126.54191 OKM COLBO 181 PEAS EXD Sto 290 7968 He 트"
20240802_041050_DR9E90247_1110_original.jpg,"20609857- 1648 2024/08/02 04:11:27 36.68253,126.54191 OKM 1294 29884 CIR LOIS-DOS B 해"
20240802_041050_DR9E90247_1114_original.jpg,"067 9857 2024/08/02 04:11:27 36.68253,126.54191 OKM CIR LOIS-P013540 290 7988 해"
20240802_041050_DR9E90247_1117_original.jpg,"4x449 10629857- 17 2024/08/02 04:11:21 36.60253,126.54191 STITIT OKM BAN CO-Sto (RECTAR A 290 7968 B He"
20240802_041050_DR9E90247_1121_original.jpg,"60609857- 165 2024/08/02 04:11:21 36.60253,126.54191 OKM 290 7968 해"
20240802_041050_DR9E90247_1125_original.jpg,"68948 60509857- 165 2024/08/02 04:11:21 36.68253,126.54791 111177 OKM 294 7988 해"
20240802_041050_DR9E90247_1128_original.jpg,"063 9857 1648 11173 2024/08/02 04:11:21 36.60253,126.54191 OKM 1290 79683 CL015-04 BASHIK (38) 해"
20240802_041050_DR9E90247_1132_original.jpg,"063 9857- 164 111117 2024/08/02 04:11:27 36.60253, 126.54191 OKM CIR 015-2019 3438 290 7988 해 트"
20240802_041050_DR9E90247_1137_original.jpg,"060 9857- 164 2024/08/02 04:11:28 36.68253, 126.54 191 OKM 1290 79882 B 해"
20240802_041050_DR9E90247_1140_original.jpg,"TALTO 060 9857- 164 11X1173 2024/08/02 04:11:28 36.68253, 126.54191 OKM CRIS P2013-5430 290 7988 해"
20240802_041050_DR9E90247_1145_original.jpg,"060 9857- 164 2024/08/02 04:11:28 36.60253, 126.54191 OKM CR 915-2013 a 290 7988 해"
20240802_041050_DR9E90247_1148_original.jpg,"60609857- 164 2024/08/02 04:11:28 36.68253, 126.54191 OKM 1290 79883 해"
20240802_041050_DR9E90247_1152_original.jpg,"36679 60609857- TO 2024/08/02 04:11:28 36.68253, 126.54191 OKM COIS-P0135406 290 7968 ㅣ해"
20240802_041050_DR9E90247_1155_original.jpg,"36679 60609857- TO 2024/08/02 04:11:28 36.68253, 126.54191 OKM 294 2968 COIS P2013-5450"
20240802_041050_DR9E90247_1159_original.jpg,"36679 60609857- 164 2024/08/02 04:11:28 36.88253, 126.54191 OKM 129079683 CARDIS 2013-5458"
20240802_041050_DR9E90247_1162_original.jpg,"60609857- 164 2024/08/02 04:11:28 36.68253, 126.54191 OKM CIR GIS PO 290 7988"
20240802_041050_DR9E90247_1166_original.jpg,"6A348 60609857- 164 2024/08/02 04:11:29 36.68253, 126.54191 OKM emsa 181 290 7988"
20240802_041050_DR9E90247_1170_original.jpg,"36579 60609857- 164 2024/08/02 04:11:29 36.68253, 126.54191 OKM 290 7988 CR015 2013-5488"
20240802_041050_DR9E90247_1174_original.jpg,"36679 60609857- 164 2024/08/02 04:11:29 36.68253, 126.54191 OKM CIR 15-PO (BELIXIR D 29G 7968"
20240802_041050_DR9E90247_1177_original.jpg,"36679 063 9857 164 2024/08/02 04:11:29 36.67253,126.54191 OKM CAR 015-03-1939 (RGETAR DODA 294 7988"
20240802_041050_DR9E90247_1180_original.jpg,"10679 <-06 9857- 2024/08/02 04:11:29 36.68253, 126.54191 OKM CROIS POL 290 7988 위험"
20240802_041050_DR9E90247_1184_original.jpg,"TA679 60609857- 111117 2024/08/02 04:11:29 36.68253, 126.54191 OKM CINOIS-PO19-548 290 7988 위험물"
20240802_041050_DR9E90247_1187_original.jpg,"76679 60629857- 111117 2024/08/02 04:11:29 36.68253,126.54191 OKM CIR 015-PO 1200 79882 81924 위험"
20240802_041050_DR9E90247_1191_original.jpg,"10579 60609857- 2024/08/02 04:11:29 36.68253,126.54191 OKM 290 7988 61 474 CIR 015 PU13-5486"
20240802_041050_DR9E90247_1194_original.jpg,"76574 063 9857 2024/08/02 04:11:30 36.68253, 126.54191 OKM CDIS PU 290 7988 41472 위험평"
20240802_041050_DR9E90247_1198_original.jpg,"60609857- 2024/08/02 04:11:30 36.68253, 126.54191 OKM GIR 915-PO 290 7988 41/422 5196"
20240802_041050_DR9E90247_1202_original.jpg,"060 9857 XXXX17M 2024/08/02 04:11:30 36.60253, 126.54191 OKM 290 7988 CI 15-PO (5) 위험 5196"
20240802_041050_DR9E90247_1205_original.jpg,"10679 60609857- 2024/08/02 04:11:30 36.68253, 126.54191 OKM 11 290 7988 위험"
20240802_041050_DR9E90247_1209_original.jpg,"11679 063 9857 2024/08/02 04:11:30 36.60253, 126.54191 OKM 290 7988 C015-POLY148"
20240802_041050_DR9E90247_1212_original.jpg,"11679 - 10619857- 2024/08/02 04:11:30 36.60253, 126.54191 OKM CIR 015-2014 290 7988 위험"
20240802_041050_DR9E90247_1216_original.jpg,"11679 063 9857 THIZES 2024/08/02 04:11:30 36.68253, 126.54191 OKM 1290 79682 CIR DIS-POS 트"
20240802_041050_DR9E90247_1219_original.jpg,"11679 063 9857 2024/08/02 04:11:30 36.68253, 126.54191 OKM 11171 1290 79884 a GIRL018-04 (95)"
20240802_041050_DR9E90247_1223_original.jpg,"11679 20609857- 76149 2024/08/02 04:11:30 36.68253, 126.54191 OKM 100 CIB 015-P09548 290 7968 (RECTAR Appa ELLIO HAN M 위협"
20240802_041050_DR9E90247_1227_original.jpg,"11679 063 9857 2024/08/02 04:11:31 36.68253, 126.54191 OKM CIR 015-Pu 290 7968"
20240802_041050_DR9E90247_1230_original.jpg,"11679 60619857- 104 2024/08/02 04:11:31 36.68253, 126.54191 OKM a CR015-201-4 290 7988 425"
20240802_041050_DR9E90247_1235_original.jpg,"76679 20609857- 104 2024/08/02 04:11:31 36.68253, 126.54191 OKM 290 7988 CAR 015 013-5436"
20240802_041050_DR9E90247_1238_original.jpg,"74579 063 9857 2024/08/02 04:11:31 36.68253, 126.54191 OKM CL015-2013 5486 294 7988 SH"
20240802_041050_DR9E90247_1242_original.jpg,"76279 60639857- 768 2024/08/02 04:11:31 36.68253, 126.54 191 0km/ 0 290 7988 CIR 015-2013 3488 (35) 해"
20240802_041050_DR9E90247_1246_original.jpg,"75179 063 9857 TOUR 2024/08/02 04:11:31 36.68253, 126.54191 OKM Cu 015-2013-485 29G 7988 해"
20240802_041050_DR9E90247_1251_original.jpg,"75179 - 10639857- YOUR 2024/08/02 04:11:31 36.68253, 126.54191 OKM 294 7988"
20240802_041050_DR9E90247_1255_original.jpg,"74279 60609857- 7618 2024/08/02 04:11:32 36.68253, 126.54 191 OKM 1290 79882 해"
20240802_041050_DR9E90247_1259_original.jpg,"75679 60609857- YOUR 2024/08/02 04:11:32 36.68253, 126.54191 www OKM eBar 181 COIS-PO13-5486 290 7968 해"
20240802_041050_DR9E90247_1262_original.jpg,"75889 067 9857 TAUR ALEXTIZE 2024/08/02 04:11:32 36.68253, 126.54191 OKM CIB CIS-PU-4 290 7988 해"
20240802_041050_DR9E90247_1266_original.jpg,"11579 067 9857 2024/08/02 04:11:32 36.68253, 126.54191 375 OKM 294 7968 해 TAND"
20240802_041050_DR9E90247_1270_original.jpg,"71680 067 9857 7613 ALEXEIZES 2024/08/02 04:11:32 36.68253, 126.54191 OKM 290 7988 CR015-2013-486 해 트"
20240802_041050_DR9E90247_1274_original.jpg,"60609857- SEXTIZE 2024/08/02 04:11:32 36.68253, 126.54191 OKM CR015 2013-5458 290 7988 해"
20240802_041050_DR9E90247_1278_original.jpg,"VISTO 60619857- EXITIZES 2024/08/02 04:11:32 36.68253, 126.54191 OKM 290 7968 CB015 POLS-5486 해 트"
20240802_041050_DR9E90247_1281_original.jpg,"FASTO 60619857- 2024/08/02 04:11:32 36.68253, 126.54 1913 OKM CR 15-P2013-5436 290 7968 해"
20240802_041050_DR9E90247_1285_original.jpg,"7A579 20609857- 2024/08/02 04:11:33 36.60253, 126.54191 OKM 1290 7988- CIR 015-0 (5) 해"
20240802_041050_DR9E90247_1288_original.jpg,"76579 3 10639857- 2024/08/02 04:11:33 36.68253, 126.54191 OKM CR015 0 294 7988 해"
